team1,team2,winner,margin,matchDate,match_id
RCB,Super Giants,RCB,14 runs,5/25/2022,T207136
RCB,Royals,Royals,7 wickets,5/27/2022,T201109
Royals,Titans,Titans,7 wickets,5/29/2022,T202715
Super Kings,Titans,Titans,5 wickets,3/31/2023,T201566
Super Giants,Capitals,Super Giants,50 runs,04-01-2023,T208512
Punjab Kings,KKR,Punjab Kings,7 runs,04-01-2023,T202853
Mumbai,RCB,RCB,8 wickets,04-02-2023,T202485
Royals,Sunrisers,Royals,72 runs,04-02-2023,T209117
Super Kings,Super Giants,Super Kings,12 runs,04-03-2023,T202790
Capitals,Titans,Titans,6 wickets,04-04-2023,T205026
Punjab Kings,Royals,Punjab Kings,5 runs,04-05-2023,T201031
KKR,RCB,KKR,81 runs,04-06-2023,T207668
Sunrisers,Super Giants,Super Giants,5 wickets,04-07-2023,T209590
Mumbai,Super Kings,Super Kings,7 wickets,04-08-2023,T206408
Royals,Capitals,Royals,57 runs,04-08-2023,T207547
Punjab Kings,Sunrisers,Sunrisers,8 wickets,04-09-2023,T206444
Titans,KKR,KKR,3 wickets,04-09-2023,T208626
RCB,Super Giants,Super Giants,1 wicket,04-10-2023,T202162
Capitals,Mumbai,Mumbai,6 wickets,04-11-2023,T207664
Royals,Super Kings,Royals,3 runs,04-12-2023,T201215
Punjab Kings,Titans,Titans,6 wickets,4/13/2023,T206541
Sunrisers,KKR,Sunrisers,23 runs,4/14/2023,T209839
Super Giants,Punjab Kings,Punjab Kings,2 wickets,4/15/2023,T203424
RCB,Capitals,RCB,23 runs,4/15/2023,T208157
Titans,Royals,Royals,3 wickets,4/16/2023,T204210
KKR,Mumbai,Mumbai,5 wickets,4/16/2023,T202897
Super Kings,RCB,Super Kings,8 runs,4/17/2023,T206232
Mumbai,Sunrisers,Mumbai,14 runs,4/18/2023,T203831
Super Giants,Royals,Super Giants,10 runs,4/19/2023,T205539
KKR,Capitals,Capitals,4 wickets,4/20/2023,T206506
RCB,Punjab Kings,RCB,24 runs,4/20/2023,T209410
Sunrisers,Super Kings,Super Kings,7 wickets,4/21/2023,T208568
Punjab Kings,Mumbai,Punjab Kings,13 runs,4/22/2023,T204462
Titans,Super Giants,Titans,7 runs,4/22/2023,T208595
Super Kings,KKR,Super Kings,49 runs,4/23/2023,T207135
RCB,Royals,RCB,7 runs,4/23/2023,T205220
Capitals,Sunrisers,Capitals,7 runs,4/24/2023,T206316
Titans,Mumbai,Titans,55 runs,4/25/2023,T208781
KKR,RCB,KKR,21 runs,4/26/2023,T202291
Royals,Super Kings,Royals,32 runs,4/27/2023,T204283
Super Giants,Punjab Kings,Super Giants,56 runs,4/28/2023,T204958
Sunrisers,Capitals,Sunrisers,9 runs,4/29/2023,T207344
KKR,Titans,Titans,7 wickets,4/29/2023,T201505
Royals,Mumbai,Mumbai,6 wickets,4/30/2023,T204100
Super Kings,Punjab Kings,Punjab Kings,4 wickets,4/30/2023,T204443
RCB,Super Giants,RCB,18 runs,05-01-2023,T203494
Capitals,Titans,Capitals,5 runs,05-02-2023,T203464
Punjab Kings,Mumbai,Mumbai,6 wickets,05-03-2023,T205138
KKR,Sunrisers,KKR,5 runs,05-04-2023,T208611
Royals,Titans,Titans,9 wickets,05-05-2023,T206195
RCB,Capitals,Capitals,7 wickets,05-06-2023,T208517
Mumbai,Super Kings,Super Kings,6 wickets,05-06-2023,T204004
Royals,Sunrisers,Sunrisers,4 wickets,05-07-2023,T201576
Titans,Super Giants,Titans,56 runs,05-07-2023,T201503
Punjab Kings,KKR,KKR,5 wickets,05-08-2023,T201181
RCB,Mumbai,Mumbai,6 wickets,05-09-2023,T205430
Super Kings,Capitals,Super Kings,27 runs,05-10-2023,T209224
